card_name,set_id,set_name,card_number,card_market_value,binder_name,page_number,slot_number,index
Alakazam,base4,Base Set 2,1,37.01,2,1,1,2-1-1
Blastoise,base4,Base Set 2,2,105.92,2,1,2,2-1-2
Chansey,base4,Base Set 2,3,14.71,2,1,3,2-1-3
Charizard,base4,Base Set 2,4,304.88,2,1,4,2-1-4
Clefable,base4,Base Set 2,5,13.97,2,1,5,2-1-5
Clefairy,base4,Base Set 2,6,10.79,2,1,6,2-1-6
Gyarados,base4,Base Set 2,7,26.86,2,1,7,2-1-7
Hitmonchan,base4,Base Set 2,8,21.21,2,1,8,2-1-8
Magneton,base4,Base Set 2,9,12.13,2,1,9,2-1-9
Mewtwo,base4,Base Set 2,10,40.96,2,2,1,2-2-1
Nidoking,base4,Base Set 2,11,24.14,2,2,2,2-2-2
Nidoqueen,base4,Base Set 2,12,23.02,2,2,3,2-2-3
Ninetales,base4,Base Set 2,13,21.49,2,2,4,2-2-4
Pidgeot,base4,Base Set 2,14,27.41,2,2,5,2-2-5
Poliwrath,base4,Base Set 2,15,13.35,2,2,6,2-2-6
Raichu,base4,Base Set 2,16,33.18,2,2,7,2-2-7
Scyther,base4,Base Set 2,17,24.6,2,2,8,2-2-8
Venusaur,base4,Base Set 2,18,73.77,2,2,9,2-2-9
Wigglytuff,base4,Base Set 2,19,11.0,2,3,1,2-3-1
Zapdos,base4,Base Set 2,20,24.31,2,3,2,2-3-2
Beedrill,base4,Base Set 2,21,1.96,2,3,3,2-3-3
Dragonair,base4,Base Set 2,22,8.65,2,3,4,2-3-4
Dugtrio,base4,Base Set 2,23,3.3,2,3,5,2-3-5
Electabuzz,base4,Base Set 2,24,3.19,2,3,6,2-3-6
Electrode,base4,Base Set 2,25,3.87,2,3,7,2-3-7
Kangaskhan,base4,Base Set 2,26,3.15,2,3,8,2-3-8
Mr. Mime,base4,Base Set 2,27,6.03,2,3,9,2-3-9
Pidgeotto,base4,Base Set 2,28,3.72,2,4,1,2-4-1
Pinsir,base4,Base Set 2,29,3.35,2,4,2,2-4-2
Snorlax,base4,Base Set 2,30,9.3,2,4,3,2-4-3
Venomoth,base4,Base Set 2,31,3.31,2,4,4,2-4-4
Victreebel,base4,Base Set 2,32,2.8,2,4,5,2-4-5
Arcanine,base4,Base Set 2,33,2.1,2,4,6,2-4-6
Butterfree,base4,Base Set 2,34,1.58,2,4,7,2-4-7
Charmeleon,base4,Base Set 2,35,1.73,2,4,8,2-4-8
Dewgong,base4,Base Set 2,36,1.23,2,4,9,2-4-9
Dodrio,base4,Base Set 2,37,1.8,2,5,1,2-5-1
Dratini,base4,Base Set 2,38,1.01,2,5,2,2-5-2
Exeggutor,base4,Base Set 2,39,1.18,2,5,3,2-5-3
Farfetch'd,base4,Base Set 2,40,0.5,2,5,4,2-5-4
Fearow,base4,Base Set 2,41,1.32,2,5,5,2-5-5
Growlithe,base4,Base Set 2,42,1.21,2,5,6,2-5-6
Haunter,base4,Base Set 2,43,0.85,2,5,7,2-5-7
Ivysaur,base4,Base Set 2,44,3.58,2,5,8,2-5-8
Jynx,base4,Base Set 2,45,0.6,2,5,9,2-5-9
Kadabra,base4,Base Set 2,46,1.22,2,6,1,2-6-1
Kakuna,base4,Base Set 2,47,0.71,2,6,2,2-6-2
Lickitung,base4,Base Set 2,48,1.3,2,6,3,2-6-3
Machoke,base4,Base Set 2,49,0.54,2,6,4,2-6-4
Magikarp,base4,Base Set 2,50,0.9,2,6,5,2-6-5
Magmar,base4,Base Set 2,51,1.08,2,6,6,2-6-6
Marowak,base4,Base Set 2,52,1.87,2,6,7,2-6-7
Nidorina,base4,Base Set 2,53,0.62,2,6,8,2-6-8
Nidorino,base4,Base Set 2,54,1.55,2,6,9,2-6-9
Parasect,base4,Base Set 2,55,0.9,2,7,1,2-7-1
Persian,base4,Base Set 2,56,1.7,2,7,2,2-7-2
Poliwhirl,base4,Base Set 2,57,0.92,2,7,3,2-7-3
Raticate,base4,Base Set 2,58,0.9,2,7,4,2-7-4
Rhydon,base4,Base Set 2,59,1.8,2,7,5,2-7-5
Seaking,base4,Base Set 2,60,0.59,2,7,6,2-7-6
Seel,base4,Base Set 2,61,0.62,2,7,7,2-7-7
Tauros,base4,Base Set 2,62,2.96,2,7,8,2-7-8
Wartortle,base4,Base Set 2,63,1.74,2,7,9,2-7-9
Weepinbell,base4,Base Set 2,64,1.23,2,8,1,2-8-1
Abra,base4,Base Set 2,65,0.42,2,8,2,2-8-2
Bellsprout,base4,Base Set 2,66,0.44,2,8,3,2-8-3
Bulbasaur,base4,Base Set 2,67,2.24,2,8,4,2-8-4
Caterpie,base4,Base Set 2,68,0.43,2,8,5,2-8-5
Charmander,base4,Base Set 2,69,1.2,2,8,6,2-8-6
Cubone,base4,Base Set 2,70,0.81,2,8,7,2-8-7
Diglett,base4,Base Set 2,71,0.38,2,8,8,2-8-8
Doduo,base4,Base Set 2,72,0.44,2,8,9,2-8-9
Drowzee,base4,Base Set 2,73,0.44,2,9,1,2-9-1
Exeggcute,base4,Base Set 2,74,0.5,2,9,2,2-9-2
Gastly,base4,Base Set 2,75,0.47,2,9,3,2-9-3
Goldeen,base4,Base Set 2,76,0.38,2,9,4,2-9-4
Jigglypuff,base4,Base Set 2,77,0.73,2,9,5,2-9-5
Machop,base4,Base Set 2,78,0.42,2,9,6,2-9-6
Magnemite,base4,Base Set 2,79,0.39,2,9,7,2-9-7
Meowth,base4,Base Set 2,80,0.55,2,9,8,2-9-8
Metapod,base4,Base Set 2,81,0.43,2,9,9,2-9-9
Nidoran ♀,base4,Base Set 2,82,0.47,2,10,1,2-10-1
Nidoran ♂,base4,Base Set 2,83,0.59,2,10,2,2-10-2
Onix,base4,Base Set 2,84,0.83,2,10,3,2-10-3
Paras,base4,Base Set 2,85,0.38,2,10,4,2-10-4
Pidgey,base4,Base Set 2,86,0.54,2,10,5,2-10-5
Pikachu,base4,Base Set 2,87,2.15,2,10,6,2-10-6
Poliwag,base4,Base Set 2,88,0.4,2,10,7,2-10-7
Rattata,base4,Base Set 2,89,0.45,2,10,8,2-10-8
Rhyhorn,base4,Base Set 2,90,0.46,2,10,9,2-10-9
Sandshrew,base4,Base Set 2,91,0.35,2,11,1,2-11-1
Spearow,base4,Base Set 2,92,0.5,2,11,2,2-11-2
Squirtle,base4,Base Set 2,93,1.06,2,11,3,2-11-3
Starmie,base4,Base Set 2,94,0.5,2,11,4,2-11-4
Staryu,base4,Base Set 2,95,0.29,2,11,5,2-11-5
Tangela,base4,Base Set 2,96,0.35,2,11,6,2-11-6
Venonat,base4,Base Set 2,97,0.6,2,11,7,2-11-7
Voltorb,base4,Base Set 2,98,0.53,2,11,8,2-11-8
Vulpix,base4,Base Set 2,99,0.83,2,11,9,2-11-9
Weedle,base4,Base Set 2,100,0.32,2,12,1,2-12-1
Computer Search,base4,Base Set 2,101,2.71,2,12,2,2-12-2
Imposter Professor Oak,base4,Base Set 2,102,2.23,2,12,3,2-12-3
Item Finder,base4,Base Set 2,103,7.47,2,12,4,2-12-4
Lass,base4,Base Set 2,104,2.69,2,12,5,2-12-5
Pokémon Breeder,base4,Base Set 2,105,4.39,2,12,6,2-12-6
